case_id,episode,k,repaired,random,negative,interpolation,persistence_mean,actual_policy_queries
PatternLock-episode-0-k0,0,0,0.0,0.0,0.0,0.0,0.0,414
PatternLock-episode-0-k3,0,3,-0.00013910231064073741,1.909720594994724e-06,-2.1269646822474897e-05,-0.00026041310047730803,-0.00035190198104828596,414
PatternLock-episode-0-k7,0,7,-0.00460774963721633,-0.0038854489102959633,-0.003505957778543234,-0.0017612066585570574,0.0008687559748068452,414
PatternLock-episode-1-k0,1,0,0.0,0.0,0.0,0.0,0.0,438
PatternLock-episode-1-k3,1,3,0.0009134836727753282,0.000429017236456275,-0.0007599582895636559,0.0020410404540598392,-0.0016779689249233343,438
PatternLock-episode-1-k7,1,7,0.0,0.0,0.0,0.0,0.0,438
PatternLock-episode-2-k0,2,0,0.0,0.0,0.0,0.0,0.0,462
PatternLock-episode-2-k3,2,3,5.8984162023989484e-05,0.00010315095278201625,4.1155159124173224e-05,-6.821998977102339e-05,0.0004229819363293548,462
PatternLock-episode-2-k7,2,7,0.0,0.0,0.0,0.0,0.0,462
PatternLock-episode-3-k0,3,0,0.0,0.0,0.0,0.0,0.0,462
PatternLock-episode-3-k3,3,3,0.00022592023015022278,0.0007577227661386132,-0.00019886204972863197,0.0006093408446758986,0.0004572795587591827,462
PatternLock-episode-3-k7,3,7,-0.0003520525060594082,0.0006550986436195672,-0.0006946710636839271,0.009872742928564548,0.0005034946758920947,462
PatternLock-episode-4-k0,4,0,0.0,0.0,0.0,0.0,0.0,414
PatternLock-episode-4-k3,4,3,0.00028331729117780924,0.00022246727894525975,-6.302647670963779e-05,8.502943092025816e-05,0.006322185508906841,414
PatternLock-episode-4-k7,4,7,0.0,0.0,0.0,0.0,0.0,414
PatternLock-episode-5-k0,5,0,0.0,0.0,0.0,0.0,0.0,414
PatternLock-episode-5-k3,5,3,7.451800047419965e-05,0.00036677674506790936,-0.0009006864856928587,0.00015336272190324962,0.0028468244709074497,414
PatternLock-episode-5-k7,5,7,0.0029251438099890947,0.0004540488007478416,-0.0018740281229838729,0.004985547624528408,0.0011341056087985635,414
PatternLock-episode-6-k0,6,0,0.0,0.0,0.0,0.0,0.0,438
PatternLock-episode-6-k3,6,3,0.0022481302730739117,0.006638209335505962,-0.0007635075598955154,0.004365207627415657,-0.00139869493432343,438
PatternLock-episode-6-k7,6,7,0.00972741562873125,0.01701723225414753,-0.0283815898001194,0.01264019776135683,-0.00042677822057157755,438
PatternLock-episode-7-k0,7,0,0.0,0.0,0.0,0.0,0.0,462
PatternLock-episode-7-k3,7,3,0.00024914147797971964,-5.9372629038989544e-05,-0.0028166293632239103,0.0017721790354698896,-0.0001974841725314036,462
PatternLock-episode-7-k7,7,7,0.002512659877538681,-0.0011486231815069914,0.0027619691099971533,0.0005675783031620085,0.0004545580983782808,462
PatternLock-episode-8-k0,8,0,0.0,0.0,0.0,0.0,0.0,438
PatternLock-episode-8-k3,8,3,0.00552144693210721,0.0004539000801742077,-0.0036905391607433558,0.0025414745323359966,0.0017149263003375381,438
PatternLock-episode-8-k7,8,7,2.9790360713377595e-05,0.0037995351012796164,0.0014919886598363519,0.0006976741133257747,0.0009091002284549177,438
PatternLock-episode-9-k0,9,0,0.0,0.0,0.0,0.0,0.0,414
PatternLock-episode-9-k3,9,3,0.002643270418047905,0.0011259681778028607,-0.0002733620349317789,0.006483264733105898,0.0009914946276694536,414
PatternLock-episode-9-k7,9,7,0.004617441911250353,0.0009028387721627951,-0.0014319983310997486,0.0018012665677815676,-0.004941004328429699,414
